id,bukkenName,years,minutes,sqrm,distance,renovate,express,price,rooms,station,floar,windowFacing,address,prg-bukkenNameAnchor href,prg-lazy src,photo-https,displayContainer href,displayPic -https,raSpecRow,relatedKeywordsData,relatedKeywordsData 2,relatedKeywordsData 3,relatedKeywordsData 4,textFeatureComment,relatedKeywordsData 5,緯度,経度
1,九段フラワーホーム,41,5,42.14,2.960147551,1,0,4480,1LDK,市ヶ谷,9,南東,東京都千代田区九段北4丁目3-20,https://www.homes.co.jp/mansion/b-1090830002823/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fb12l2rjdcm9kvcv.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fb12l2rjdcm9kvcv.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1090830002823/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fvsrx2rjdcm9kvct.jpg,11,駐車場あり,エレベーター,最上階,スーパー800m以内,当社売主。いつでも内覧可能です。市ヶ谷駅より徒歩5分、4路線利用可能の大規模マンション。,,35.69381,139.739639
2,曙マンション,47,12,47.99,31.92562844,1,1,1690,2DK,立川,4,南西,東京都立川市曙町3丁目,https://www.homes.co.jp/mansion/b-1370840001641/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Foocg2rtao3ly0p1.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Foocg2rtao3ly0p1.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001641/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fu7j22rtao3ly0p4.jpg,29,リノベーション・リフォーム,エレベーター,,,4階部分南西向きにつき陽当り良好／ＪＲ中央線「立川」駅徒歩12分,,35.702904,139.424179
3,東中野ＲＨソサエテイ,48,3,43.6,7.768447716,1,0,2980,1LDK,東中野,8,南西,東京都中野区東中野5丁目5-10,https://www.homes.co.jp/mansion/b-1370840001591/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhqyr2rtao3lxwu5.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhqyr2rtao3lxwu5.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001591/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fdgok2rtao3lxwu8.jpg,30,リノベーション・リフォーム,駐車場あり,エレベーター,スーパー800m以内,東中野駅徒歩3分の好立地／8階角部屋につき眺望良好です,角部屋,35.707783,139.686844
4,小金井スカイコーポラス,51,6,61.05,23.60463644,1,0,2180,1SLDK,武蔵小金井,9,南東,東京都小金井市前原町3丁目40-1,https://www.homes.co.jp/mansion/b-1370840001582/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9efe2rtao3lxw55.jpg&width=208&height=138,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F9efe2rtao3lxw55.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001582/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fzgrj2rtao3lxw58.jpg,30,リノベーション・リフォーム,ペット相談可,駐車場あり,エレベーター,土地権利：所有権のお部屋／武蔵小金井駅徒歩6分の大規模マンションです／ペット飼育相談,スーパー800m以内,35.697376,139.505692
5,境南マンション,51,9,47.38,20.15478498,1,0,1980,2LDK,武蔵境,5,南,東京都武蔵野市境南町4丁目,https://www.homes.co.jp/mansion/b-1370840001442/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgl732rtao3lxlc9.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fgl732rtao3lxlc9.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001442/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Flwi72rtao3lxlcc.jpg,30,リノベーション・リフォーム,オートロック,エレベーター,角部屋,JR中央線「武蔵境」駅徒歩9分／南向き角部屋で眺望・陽当たり良好,,35.699955,139.536057
6,吉祥寺南口ビル,55,1,53.37,17.02754961,1,0,2890,1LDK,吉祥寺,5,南西,東京都武蔵野市吉祥寺南町1丁目,https://www.homes.co.jp/mansion/b-1370840001368/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fe2f72rtao3lxfmp.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fe2f72rtao3lxfmp.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001368/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fj0rx2rtao3lxfms.jpg,30,リノベーション・リフォーム,エレベーター,,,吉祥寺駅から徒歩1分の好立地／事務所としても使用できます（要承認・規約有）,,35.700569,139.580765
7,クレッセント国立・ディアナプレイス,18,1,86.89,29.00351351,1,0,5980,3LDK,国立,2,南,東京都国立市北1丁目,https://www.homes.co.jp/mansion/b-1370840001675/,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fyc7s2rtao3ly3bh.jpg&width=208&height=138,https://image4.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fyc7s2rtao3ly3bh.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1370840001675/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F7r5i2rtao3ly3bj.jpg,30,駐車場あり,オートロック,エレベーター,大規模マンション,JR中央線国立駅徒歩1分／ペット飼育相談／24時間有人管理（22時～8時は警備員）,,35.699921,139.446136
8,グローベル　ザ・国分寺クリスタ,3,5,35.47,25.95603852,1,1,3650,1LDK,国分寺,12,南東,東京都国寺市本町3丁目,https://www.homes.co.jp/mansion/b-35005080001108/,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2xgf3oxj3r6h8sy.jpg&width=208&height=138,https://image1.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2F2xgf3oxj3r6h8sy.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-35005080001108/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Frjdo3oxj3r6h8sx.jpg,7,,,,,,,35.710812,139.46228
9,アーバンヴィスタ立川,4,5,20.01,31.92562844,1,1,1980,1K,立川,7,西,東京都立川市錦町1丁目,https://www.homes.co.jp/mansion/b-1184720010789/,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Favfw2rmp5v68jg6.jpg&width=208&height=138,https://image2.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Favfw2rmp5v68jg6.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-1184720010789/,https://image3.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fiif02rmp5v68jg5.jpg,12,オートロック,エレベーター,,,立川駅徒歩5分、オーナーチェンジ物件です。H28年築、二重天井・二重床のマンションです。,,35.695591,139.42009
10,デュアレス千代田三崎町,5,3,25.03,2.552352467,1,0,3880,1K,水道橋,9,北西,東京都千代田区神田三崎町3丁目5-5,https://www.homes.co.jp/mansion/b-39036020001238/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ffvos3sweykyiahl.jpg&width=208&height=138,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Ffvos3sweykyiahl.jpg&amp;width=208&amp;height=138,https://www.homes.co.jp/mansion/b-39036020001238/,https://image.homes.jp/smallimg/image.php?file=http%3A%2F%2Fimg.homes.jp%2Fhnn23sweykyiahm.jpg,10,オートロック,エレベーター,スーパー800m以内,角部屋,「水道橋駅」徒歩3分/平成28年築/都心型投資用物件,,35.700874,139.751785
