uid,years,minutes,sqrm,distance,renovate,express,price
13101-1,34,3,35,2.983801459,0,0,24000000
13101-2,37,4,20,2.983801459,0,0,13000000
13101-4,34,3,30,2.983801459,0,0,22000000
13101-5,35,1,70,2.983801459,0,0,69000000
13101-6,34,3,25,2.983801459,0,0,21000000
13101-7,12,4,70,2.983801459,0,0,81000000
13101-8,37,4,45,2.983801459,1,0,45000000
13101-9,35,1,55,2.983801459,1,0,66000000
13101-10,16,5,20,2.983801459,0,0,19000000
13101-11,7,3,45,2.983801459,0,0,37000000
13101-12,16,5,20,2.983801459,0,0,18000000
13101-14,35,1,55,2.983801459,1,0,65000000
13101-15,20,4,55,2.983801459,0,0,53000000
13101-17,35,1,55,2.983801459,0,0,56000000
13101-18,34,3,20,2.983801459,0,0,15000000
13101-19,12,4,70,2.983801459,1,0,93000000
13101-21,12,4,85,2.983801459,0,0,100000000
13101-22,35,1,55,2.983801459,1,0,66000000
13101-23,35,1,55,2.983801459,0,0,51000000
13101-26,35,1,55,2.983801459,0,0,60000000
13101-29,12,4,65,2.983801459,0,0,78000000
13101-30,37,2,25,2.983801459,0,0,22000000
13101-31,12,4,70,2.983801459,0,0,99000000
13101-163,17,10,20,1.223423006,1,1,19000000
13101-164,17,10,20,1.223423006,0,1,20000000
13101-227,14,3,20,1.223423006,0,1,26000000
13101-228,14,2,20,1.223423006,0,1,25000000
13101-229,14,2,20,1.223423006,0,1,24000000
13101-230,14,2,20,1.223423006,0,1,27000000
13101-234,40,6,20,1.223423006,1,1,15000000
13101-235,40,6,15,1.223423006,1,1,14000000
13101-237,14,2,20,1.223423006,0,1,24000000
13101-238,14,2,20,1.223423006,0,1,24000000
13101-239,14,2,20,1.223423006,0,1,25000000
13101-242,40,4,15,1.223423006,0,1,14000000
13101-243,14,3,20,1.223423006,0,1,23000000
13101-244,40,4,15,1.223423006,0,1,14000000
13101-245,40,4,20,1.223423006,0,1,14000000
13101-246,40,4,25,1.223423006,0,1,16000000
13101-249,14,2,20,1.223423006,0,1,22000000
13101-250,18,4,20,1.223423006,0,1,19000000
13101-252,40,4,15,1.223423006,0,1,13000000
13101-358,42,10,60,1.998921954,1,1,57000000
13101-373,6,4,25,2.552352467,0,0,27000000
13101-375,21,4,75,2.552352467,1,0,77000000
13101-376,10,7,40,2.552352467,0,0,41000000
13101-378,6,4,40,2.552352467,0,0,39000000
13101-379,17,4,20,2.552352467,0,0,25000000
13101-380,17,4,20,2.552352467,0,0,24000000
13101-381,6,4,40,2.552352467,0,0,37000000
13101-382,17,4,20,2.552352467,0,0,20000000
13101-384,12,6,40,2.552352467,1,0,43000000
13101-386,17,4,25,2.552352467,0,0,18000000
13101-476,14,4,20,1.223423006,0,1,24000000
13101-478,14,3,20,1.223423006,0,1,27000000
13101-479,14,3,20,1.223423006,0,1,25000000
13101-481,14,3,20,1.223423006,0,1,25000000
13101-489,14,4,20,1.223423006,0,1,20000000
13101-491,44,4,20,1.998921954,0,1,15000000
13101-492,44,4,20,1.998921954,0,1,18000000
13101-495,42,3,15,1.998921954,0,1,15000000
13101-496,42,3,15,1.998921954,1,1,14000000
13101-497,42,3,15,1.998921954,0,1,11000000
13101-498,42,3,15,1.998921954,0,1,13000000
13101-499,44,4,15,1.998921954,0,1,13000000
13101-501,44,5,15,1.998921954,0,1,7800000
13101-502,44,4,20,1.998921954,0,1,18000000
13101-503,42,3,25,1.998921954,0,1,22000000
13101-506,44,4,20,1.998921954,0,1,16000000
13101-519,14,3,25,1.223423006,0,1,26000000
13101-520,14,3,25,1.223423006,0,1,26000000
13101-521,15,4,20,1.223423006,0,1,24000000
13101-522,12,4,30,1.223423006,0,1,35000000
13101-523,15,4,20,1.223423006,0,1,20000000
13101-524,12,4,20,1.223423006,1,1,31000000
13101-525,15,4,20,1.223423006,0,1,22000000
13101-527,14,2,25,1.223423006,0,1,30000000
13101-528,15,3,45,1.223423006,1,1,47000000
13101-530,12,4,20,1.223423006,0,1,25000000
13101-531,12,4,20,1.223423006,0,1,30000000
13101-533,12,4,20,1.223423006,0,1,27000000
13101-535,12,4,50,1.223423006,0,1,57000000
13101-536,14,3,25,1.223423006,0,1,23000000
13101-537,12,2,20,1.223423006,0,1,28000000
13101-538,15,3,20,1.223423006,0,1,25000000
13101-539,12,4,20,1.223423006,0,1,25000000
13101-542,12,4,30,1.223423006,0,1,31000000
13101-543,14,3,25,1.223423006,0,1,25000000
13101-562,7,3,40,1.223423006,0,1,43000000
13101-563,7,3,40,1.223423006,0,1,35000000
13101-567,8,4,40,1.223423006,0,1,45000000
13101-568,8,4,30,1.223423006,1,1,27000000
13101-603,14,4,20,1.223423006,0,1,21000000
13101-604,14,4,20,1.223423006,0,1,21000000
13101-605,14,4,20,1.223423006,0,1,22000000
13101-615,21,2,25,2.552352467,0,0,27000000
13101-616,14,5,20,2.552352467,0,0,24000000
13101-617,8,5,40,2.552352467,0,0,37000000
13101-620,6,3,35,2.552352467,0,0,45000000
13101-621,8,5,30,2.552352467,0,0,33000000
13101-622,21,2,25,2.552352467,0,0,33000000
13101-623,14,5,20,2.552352467,0,0,24000000
13101-625,8,5,40,2.552352467,0,0,39000000
13101-627,6,3,35,2.552352467,0,0,43000000
13101-636,14,4,40,2.960147551,0,0,36000000
13101-638,4,2,65,2.960147551,0,0,120000000
13101-639,40,11,20,2.960147551,0,0,15000000
13101-643,14,4,60,2.960147551,1,0,64000000
13101-644,40,11,20,2.960147551,0,0,14000000
13101-647,21,4,20,2.960147551,0,0,20000000
13101-666,19,6,20,2.960147551,1,0,23000000
13101-671,19,8,50,2.960147551,1,0,71000000
13101-673,19,6,20,2.960147551,0,0,15000000
13101-674,11,4,60,2.960147551,0,0,77000000
13101-675,11,4,60,2.960147551,0,0,80000000
13101-676,21,8,60,2.960147551,0,0,67000000
13101-677,16,6,30,2.960147551,0,0,29000000
13101-678,19,8,50,2.960147551,0,0,55000000
13101-679,11,4,60,2.960147551,1,0,82000000
13101-681,21,8,75,2.960147551,0,0,97000000
13101-683,21,8,60,2.960147551,0,0,67000000
13101-685,34,2,35,2.960147551,1,0,36000000
13101-686,6,2,70,2.960147551,0,0,110000000
13101-689,19,8,50,2.960147551,0,0,65000000
13101-690,6,2,70,2.960147551,1,0,94000000
13101-730,2,2,50,3.246960267,0,1,97000000
13101-732,5,4,80,2.960147551,0,0,130000000
13101-734,48,3,65,2.960147551,0,0,60000000
