,uid,years,minutes,sqrm,distance,renovate,express,price,predict
0,13101-1,34,3,35,2.983801459,0,0,24000000,25987877.294400647
1,13101-2,37,4,20,2.983801459,0,0,13000000,12118007.463381484
2,13101-4,34,3,30,2.983801459,0,0,22000000,22258737.996111784
3,13101-5,35,1,70,2.983801459,0,0,69000000,53567757.73243104
4,13101-6,34,3,25,2.983801459,0,0,21000000,18529598.697822917
5,13101-7,12,4,70,2.983801459,0,0,81000000,63298680.883044414
6,13101-8,37,4,45,2.983801459,1,0,45000000,34068988.61997612
7,13101-9,35,1,55,2.983801459,1,0,66000000,45685624.50271477
8,13101-10,16,5,20,2.983801459,0,0,19000000,22769264.746532224
9,13101-11,7,3,45,2.983801459,0,0,37000000,48446578.762694605
10,13101-12,16,5,20,2.983801459,0,0,18000000,22769264.746532224
11,13101-14,35,1,55,2.983801459,1,0,65000000,45685624.50271477
12,13101-15,20,4,55,2.983801459,0,0,53000000,47666693.248410046
13,13101-17,35,1,55,2.983801459,0,0,56000000,42380339.83756445
14,13101-18,34,3,20,2.983801459,0,0,15000000,14800459.399534054
15,13101-19,12,4,70,2.983801459,1,0,93000000,66603965.548194714
16,13101-21,12,4,85,2.983801459,0,0,100000000,74486098.777911
17,13101-22,35,1,55,2.983801459,1,0,66000000,45685624.50271477
18,13101-23,35,1,55,2.983801459,0,0,51000000,42380339.83756445
19,13101-26,35,1,55,2.983801459,0,0,60000000,42380339.83756445
20,13101-29,12,4,65,2.983801459,0,0,78000000,59569541.58475555
21,13101-30,37,2,25,2.983801459,0,0,22000000,17878623.329149663
22,13101-31,12,4,70,2.983801459,0,0,99000000,63298680.883044414
23,13101-163,17,10,20,1.223423006,1,1,19000000,20440286.77551327
24,13101-164,17,10,20,1.223423006,0,1,20000000,17135002.11036296
25,13101-227,14,3,20,1.223423006,0,1,26000000,25911883.748953484
26,13101-228,14,2,20,1.223423006,0,1,25000000,26927622.03269314
27,13101-229,14,2,20,1.223423006,0,1,24000000,26927622.03269314
28,13101-230,14,2,20,1.223423006,0,1,27000000,26927622.03269314
29,13101-234,40,6,20,1.223423006,1,1,15000000,11725101.908639565
30,13101-235,40,6,15,1.223423006,1,1,14000000,7995962.610350702
31,13101-237,14,2,20,1.223423006,0,1,24000000,26927622.03269314
32,13101-238,14,2,20,1.223423006,0,1,24000000,26927622.03269314
33,13101-239,14,2,20,1.223423006,0,1,25000000,26927622.03269314
34,13101-242,40,4,15,1.223423006,0,1,14000000,6722154.512679707
35,13101-243,14,3,20,1.223423006,0,1,23000000,25911883.748953484
36,13101-244,40,4,15,1.223423006,0,1,14000000,6722154.512679707
37,13101-245,40,4,20,1.223423006,0,1,14000000,10451293.81096857
38,13101-246,40,4,25,1.223423006,0,1,16000000,14180433.109257434
39,13101-249,14,2,20,1.223423006,0,1,22000000,26927622.03269314
40,13101-250,18,4,20,1.223423006,0,1,19000000,22673860.59532994
41,13101-252,40,4,15,1.223423006,0,1,13000000,6722154.512679707
42,13101-358,42,10,60,1.998921954,1,1,57000000,36384120.725049905
43,13101-373,6,4,25,2.552352467,0,0,27000000,33069854.503270462
44,13101-375,21,4,75,2.552352467,1,0,77000000,65332963.88924484
45,13101-376,10,7,40,2.552352467,0,0,41000000,38987772.67703419
46,13101-378,6,4,40,2.552352467,0,0,39000000,44257272.398137055
47,13101-379,17,4,20,2.552352467,0,0,25000000,23229431.81280091
48,13101-380,17,4,20,2.552352467,0,0,24000000,23229431.81280091
49,13101-381,6,4,40,2.552352467,0,0,37000000,44257272.398137055
50,13101-382,17,4,20,2.552352467,0,0,20000000,23229431.81280091
51,13101-384,12,6,40,2.552352467,1,0,43000000,42197653.19098222
52,13101-386,17,4,25,2.552352467,0,0,18000000,26958571.111089773
53,13101-476,14,4,20,1.223423006,0,1,24000000,24896145.465213828
54,13101-478,14,3,20,1.223423006,0,1,27000000,25911883.748953484
55,13101-479,14,3,20,1.223423006,0,1,25000000,25911883.748953484
56,13101-481,14,3,20,1.223423006,0,1,25000000,25911883.748953484
57,13101-489,14,4,20,1.223423006,0,1,20000000,24896145.465213828
58,13101-491,44,4,20,1.998921954,0,1,15000000,8229008.941084687
59,13101-492,44,4,20,1.998921954,0,1,18000000,8229008.941084687
60,13101-495,42,3,15,1.998921954,0,1,15000000,6626750.36147742
61,13101-496,42,3,15,1.998921954,1,1,14000000,9932035.02662773
